make;model;code;version;descmotor;desctransmision
001;003;01;LE;L4, 1,8i, 16V;S
001;003;03;LS 2P - Sincronico;L4, 1.8i, 16V;S
001;003;04;RS 2P - Sincronico;L4, 1.8i, 16V;S
001;003;05;Special Edition 2P - Sincronico;L4, 1.8i, 16V;S
001;003;06;GS 4P - Sincronico;L4, 1.8i, 16V;S
001;003;07;GS 2P - Sincronico;L4, 1.8i, 16V;S
001;003;08;GS-R 4P - Sincronico;L4, 1.8i, 16V;S
001;003;09;LS 2P - Automatico;L4, 1.8i, 16V;A
001;003;10;LS 4P - Sincronico;L4, 1.8i, 16V;S
001;003;11;LS 4P - Automatico;L4, 1.8i, 16V;A
001;003;12;RS 2P - Automatico;L4, 1.8i, 16V;A
001;003;13;RS 4P - Sincronico;L4, 1.8i, 16V;S
001;003;14;RS 4P - Automatico;L4, 1.8i, 16V;A
001;003;15;GS 4P - Automatico;L4, 1.8i, 16V;A
001;003;16;GS 2P - Automatico;L4, 1.8i, 16V;A
001;003;17;Special Edition 2P - Automatico;L4, 1.8i, 16V;A
001;003;18;Special Edition 4P - Sincronico;L4, 1.8i, 16V;S
001;003;19;Special Edition 4P - Automatico;L4, 1.8i, 16V;A
001;003;20;Type R - Sincronico;L4, 1.8i, 16V;S
001;003;21;GS-R 2P - Sincronico;L4, 1.7i, 16V;S
001;004;01;GS Sedan - Automatico;V6, 3.2i, 24V;A
001;004;02;Sedan - Sincronico;V6, 3.2i, 24V;S
001;004;03;L 4P - Sincronico;V6, 3.2i, 24V;S
001;004;04;LS 2P - Sincronico;V6, 3.2i, 24V;S
001;004;05;LS 4P - Sincronico;V6, 3.2i, 24V;S
001;004;06;SE - Automatico;V6, 3.2i, 24V;A
001;004;07;Coupe - Sincronico;V6, 3.2i, 24V;S
001;004;08;GS Sedan - Sincronico;V6, 3.2i, 24V;S
001;004;09;L 2P - Automatico;V6, 3.2i, 24V;A
001;004;10;L 4P - Automatico;V6, 3.2i, 24V;A
001;004;11;LS 2P - Automatico;V6, 3.2i, 24V;A
001;004;12;LS 4P - Automatico;V6, 3.2i, 24V;A
001;004;13;Sedan - Automatico;V6, 3.2i, 24V;A
001;005;01;T 2P - Sincronico;V6, 4.8i, 24V;S
001;005;02;Base  - Automatico;V6, 3.0i, 24V;A
001;005;03;Base  - Sincronico;V6, 3.0i, 24V;S
001;005;04;T 2P - Automatico;V6, 4.8i, 24V;A
001;006;01;GS - Sincronico;L5, 2.5i, 20V;S
001;006;02;LS - Sincronico;L5, 2,5i, 20V;S
001;006;03;GS - Automatico;L5, 2.5i, 20V;A
001;006;04;LS - Automatico;L5, 2,5i, 20V;A
001;010;01;Base 4x4 - Automatico;V6, 3.2i, 24V;A
001;010;02;Premiun 4x4 - Automatico;V6, 3.2i, 24V;A
001;012;01;Base - Automatico;V6, 3.2i, 24V;A
001;012;02;Con Sist. de Navegación - Automatico;V6, 3.2i, 24V;A
001;012;03;Type S - Automatico;V6, 3.2i, 24V;A
001;012;04;Type S con Sist. de Navegación - Automatico;V6, 3.2i, 24V;A
001;012;05;Versión sin siglas - Sincronico;L4, 2.2i, 16V;S
001;012;06;Versión sin siglas - Automatico;L4, 2.2i, 16V;A
001;012;07;Premium - Sincronico;L4, 2.2i, 16V;S
