code,make
001,ACURA
002,ALFA ROMEO
003,ARO
004,ASIA
005,ASTON MARTIN
006,AUDI
007,BENTLEY
008,BMW
009,BUGATTI
010,BUICK
011,CADILLAC
012,CAGIVA
013,CHEVROLET
014,CHRYSLER
015,CITROEN
016,DACIA
017,DAEWOO
018,DAIHATSU
019,DE TOMASO
020,DODGE
021,DUCATI
022,EAGLE
023,ENCAVA
024,FERRARI
025,FIAT
026,FORD
027,GEO
028,GMC
029,HARLEY_DAVIDSON
030,HONDA
031,HYUNDAI
032,INFINITI
033,INNOCENTI
034,INTERNATIONAL
035,ISUZU
036,IVECO
037,JAGUAR
038,JEEP
039,KAWASAKI
040,KIA
041,LADA
042,LAMBORGHINI
043,LANCIA
044,LAND ROVER
045,LEXUS
046,LINCOLN
047,LOTUS
048,MACK
049,MASERATI
050,MAZDA
051,MERCEDES BENZ
052,MERCURY
053,MINI
054,MINSK
055,MITSUBISHI
056,NISSAN
057,OLDSMOBILE
058,OPEL
059,PEGASO
060,PEUGEOT
061,PIAGGIO
062,PLYMOUTH
063,PONTIAC
064,PORSCHE
065,RENAULT
066,ROLLS ROYCE
067,ROVER
068,SAAB
069,SATURN
070,SEAT
071,SKODA
072,SUBARU
073,SUZUKI
074,TOYOTA
075,TRIUMPH
076,VAUXHALL
077,LML
078,VOLKSWAGEN
079,VOLVO
080,YAMAHA
081,YUGO
082,BAJAJ
083,REMOLQUES
084,BERTONE
085,FREIGHTLINER
086,AM GENERAL
087,DADDY
088,PGO
089,PANTHER
090,KENWORTH
091,SSANGYONG
092,FARGO
093,REO
094,JINCHENG
095,BUSSCAR
096,MARCOPOLO
097,ITALJET
098,AUTOGAGO
099,HILLMAN
100,VOSJDO
101,AMERICAN MOTORS
102,KORSAKA
103,MONTESA
104,JAWA
105,DATSUN
106,JIALING
107,FAMOSA
108,GILERA
109,SCANIA
110,DIECI
111,RIO
112,ALL AMERICAN
113,AUSTIN
114,PACKARD
115,LIMA
116,AUTOBUSES
117,VACTOR
118,MAZ
119,KUMOTO
120,SMART
121,DELAGE
122,AEON
123,PAZ
124,BLUE BIRD
125,HINO
126,RAMBLER
127,EBRO
128,SUNDIRO
129,MAICO
130,WHITE
131,JIANCHE
132,ADLY
133,UAZ
134,E_TON
135,XINGFU
136,KAMAZ
137,ALKON
138,AQ
139,HUSQVARNA
140,MV AGUSTA
141,ENCORE
142,GEELY
143,STANDARD
144,STERLING
145,GUANJUN
146,MG
147,STEYR PUCH
148,GAS GAS
149,MALAGUTI
150,FAMI
151,DE_LOREAN
152,KTM
153,LDV
154,PETERBILT
155,UNITED MOTORS
156,QINGQI
157,WULING
158,MOKE
159,ACADIAN
160,FANABUS
161,DEUTZ
162,ZONGZHEN
163,KYMCO
164,HUMMER
165,YUMBO
166,STUDEBAKER
167,ROSENGART
168,APRILIA
169,NANFANG
170,JUVE
171,MAYBACH
172,YINGANG
173,POLARIS
174,DERBI
175,ATALA
176,SYM
177,AVA
178,VENTO
179,SCION
180,VENSUN
181,MAN
182,IPV
183,DAIFO
184,SUMO
185,IKCO
186,GREAT WALL MOTORS
187,VERUCCI
188,AMERICAN MOTORCYCLE
189,CHERY
190,CHANA
191,HME
192,ASTRA
193,ALPHA STAR
194,UNICO
195,SAIC WULING
196,BYD AUTOS
197,HAFEI
198,LIFAN
199,ROFERCA
500,JIEDA
501,LINGYUN
502,FEIYING
503,GONOW
504,SKYGO
505,DAYANG
506,KYOTO
507,FAW
508,JONWAY
509,SAIPA
510,RUSTICOS VENEZUELA
511,SHINERAY
512,TATRA
513,OSHKOSH
514,SUKIDA
515,BENELLI
516,ZXMCO
517,LINHAI
518,GOLDEN DRAGON
519,JAC
520,HYOSUNG
521,YASUKI
522,TVS
523,ZHONG TONG
524,LAVERDA
525,ZNEN
526,CHANGHE
527,TIUNA
528,DONG_FENG
529,NIPPONIA
530,SG
531,SNOW
532,CHUNFENG
533,SHUANGHUAN AUTO
534,ZHONGXING
535,YAMOTO
536,KINROAD
537,TATA
538,KAMA
539,MUDAN
540,DENUTA
541,HAOTIAN
542,AG
543,PIONEER
544,LANDWIND
545,JMC
546,VENIRAUTO
547,HAIMA
548,CAN_AM
549,SINOTRUK
550,HONGXING
551,ZOTYE
552,DADI
553,CAPACITY
554,YAMATI
555,DAZON
556,SENKE
557,VOLARE
558,YUEJIN
559,KEEWAY
560,JADA
561,FOTON
562,JINLUN
563,POWERPLUS
564,YIBEN
565,BUELL
566,BAIEC
567,NEOBUS
568,YUTONG
569,TESLA
570,HEIBAO
571,BOMBARDIER
572,HUAWIN
573,UFO
574,JINBEI
575,BIG_BEAR_CHOPPERS
576,POLARSUN
577,JIANGNAN
578,GUZZI
579,ARCTIC_CAT
580,SANY
581,GRAHAM_PAIGE
582,HAOJUE
583,DAF
584,WANGYE
585,HAOQING
586,XCMG
587,BERA
588,OTTAWA
589,HAOJIN
590,PUCH
591,MAZVEN
592,HAWTAI
593,BRILLIANCE
594,DAYUN
595,URO
596,KAWEI
597,RAM
598,LONCIN
599,SITOM
600,BERING
601,MARUTI
602,BEIBEN
800,FAMOSA
801,VANGUARD
802,ACETO
803,EMPIRE
804,DITE /  MOTORCA
805,FABR. EXTRANJERA
806,FABRICACION NACIONAL
807,ORINOCO
808,RAMBLER
809,FRUEHAUF
811,FONTAINE
812,FARGO
813,CARROCERIA CHA
814,BERA
815,GENERAL MOTORS
816,TITAN
817,CONQUISTADOR
818,STRICK
819,KHODRO DISEL
820,HAOJUE
821,INBUS
822,JMSTAR
823,REMIVECA
