make,code,model,clasiveh,vehicle_size
001,003,INTEGRA,A,M
001,004,LEGEND,A,M
001,005,NSX,A,M
001,006,VIGOR,A,M
001,010,SLX,C,M
001,012,CL,A,M
001,013,TL,A,M
001,014,RL,A,M
001,015,MDX,C,M
001,019,GS R,,
001,020,RSX,A,M
001,022,1.6EL,A,M
001,025,TSX,A,M
001,026,RDX,C,M
001,027,ZDX,A,
001,028,ILX,A,
001,029,RLX,A,
002,001,155,A,
002,002,164,A,
002,003,GTV,A,
002,004,RZ,A,
002,005,SPIDER,A,
002,006,SZ,A,
002,007,145,A,
002,008,146,A,
002,009,33,A,
002,010,156,A,
002,011,166,A,
002,015,147,A,
002,016,ALFETTA,,
002,017,159,A,
002,018,BRERA,A,
002,019,4C,,
003,001,BUFFALO,C,G
003,002,DAKTARI,C,G
003,003,RANGER,C,G
003,004,RHINO,C,G
003,005,YUKO,C,G
003,006,MAXI,C,G
003,007,ANACONDA,C,G
003,008,GRAN RANGER,C,G
003,009,SPARTANA,C,G
004,001,TOWNER,C,M
004,002,TOPIC,C,M
005,001,DB7,A,G
005,002,VIRAGE,A,G
005,003,LAGONDA,A,G
005,004,DB9,A,G
005,005,DBS,A,
005,006,VANTAGE,A,
005,007,RAPIDE,A,
006,001,100,A,M
006,002,80,A,M
006,003,90,A,M
006,004,A4,A,M
006,005,A6,A,M
006,006,A8,A,M
006,007,CABRIOLET,A,M
006,008,S6,A,M
006,009,V8,A,M
006,011,200,A,M
006,012,A3,A,M
006,013,S8,A,M
006,014,TT,A,M
006,015,S4,A,M
006,016,ALLROAD,A,M
006,017,S3,A,M
006,018,A2,A,M
006,019,RS,A,M
006,020,Q7,A,M
006,021,A5,A,
006,022,S5,A,
006,023,R,A,
006,024,TTS,A,
006,025,Q5,A,
006,026,4000,A,
006,027,A7,A,
006,028,Q3,A,
006,029,SQ5,A,
007,001,BROOKLANDS,A,G
007,002,CONTINENTAL,A,G
007,003,EIGHT,A,G
007,004,MULSANNE,A,G
007,005,R,A,G
007,006,AZURE,A,G
007,007,RT,A,G
007,008,ARNAGE,A,G
007,009,4.25,,
008,001,316,A,M
008,002,318,A,G
008,003,320,A,G
008,004,325,A,G
008,005,328,A,G
008,006,525,A,G
008,007,530,A,G
008,008,535,A,G
008,009,540,A,G
008,010,730,A,G
008,011,735,A,G
008,012,740,A,G
008,013,750,A,G
008,014,840,A,G
008,015,850,A,G
008,016,M3,A,G
008,017,M5,A,G
008,018,Z3,A,G
008,019,528,A,G
008,020,635,A,G
008,021,M6,A,G
008,022,L7,A,G
008,023,L6,A,G
008,024,533,A,G
008,025,633,A,G
008,026,733,A,G
008,027,630,A,G
008,028,3.0,A,G
008,029,2002,A,G
008,030,728,A,G
008,031,323,A,G
008,032,M,A,G
008,033,523,A,G
008,034,R,A,
008,035,K,A,
008,036,F,A,
008,037,520,A,P
008,038,518,A,P
008,039,X5,A,G
008,040,524,A,G
008,041,Z8,A,M
008,042,330,A,G
008,043,745,A,G
008,044,Z4,A,G
008,045,C1,A,
008,046,545,A,G
008,047,760,A,G
008,048,645,A,G
008,049,ALPINA,A,G
008,050,X3,A,G
008,051,Z1,A,M
008,052,120,A,M
008,053,116,A,M
008,054,550,A,G
008,055,650,A,G
008,056,130,A,M
008,057,HP,A,M
008,058,335,A,M
008,059,G,A,
008,060,X6,A,
008,061,135,A,
008,062,128,A,
008,063,X1,A,
008,064,640,A,
008,065,435,A,
008,066,428,A,
008,067,118,A,
008,068,S,,
008,069,420,,
008,070,228,,
008,071,235,,
009,001,EB,A,G
009,002,EB112,A,G
009,003,VEYRON,A,G
010,001,CENTURY,C,G
010,002,LE SABRE,C,G
010,003,PARK AVENUE,C,G
010,004,REGAL,C,G
010,005,RIVIERA,C,G
010,006,ROADMASTER,C,G
010,007,SKYLARK,C,M
010,008,SKYHAWK,C,M
010,009,SPECIAL,,
010,010,RAINIER,C,G
010,011,RENDEZVOUS,C,G
010,012,LACROSSE,C,G
010,013,TERRAZA,C,G
010,014,LUCERNE,C,G
010,015,ENCLAVE,C,G
010,016,ELECTRA,C,G
010,017,EXCELLE,C,
010,018,VERANO,A,
011,001,ALLANTE,B,G
011,002,BROUGHAM,B,G
011,003,DEVILLE,B,G
011,004,ELDORADO,B,G
011,005,FLEETWOOD,B,G
011,006,SEVILLE,B,G
011,007,CATERA,B,G
011,008,ESCALADE,B,G
011,009,CTS,B,G
011,010,XLR,B,G
011,011,SRX,B,G
011,012,STS,B,G
011,013,DTS,B,G
011,014,STS-V,B,
011,015,XLR-V,B,
011,016,ATS,B,
011,017,XTS,,
012,001,CUCCIOLO,A,P
012,002,MITO,A,P
012,003,PLANET,A,P
012,004,RIVER,A,P
012,005,CANYON,A,P
012,006,G CANYON,A,P
012,007,NAVIGATOR,A,P
012,008,RAPTOR,A,P
012,009,V RAPTOR,A,P
012,010,W12,,
013,001,ASTRO,I,G
013,002,BERETTA,I,M
013,003,BLAZER,B,G
013,004,C 1500,A,G
013,005,C 3500,A,G
013,006,C10,C,G
013,007,C30,A,G
013,008,C31,A,G
013,009,C60,A,G
013,010,C600,A,G
013,011,C70,A,G
013,012,C7000,A,G
013,013,CAMARO,D,G
013,014,CAPRICE,I,G
013,015,CAVALIER,F,G
013,016,CELEBRITY,I,M
013,017,CENTURY,I,G
013,018,CHASIS,A,G
013,019,CHEVETTE,I,P
013,020,CHEVY 500,C,P
013,021,CHEVY NOVA,I,G
013,022,CHEVY VAN,C,G
013,023,CORSICA,I,M
013,024,CORVETTE,A,G
013,025,EXPRESS,C,G
013,026,GRAND BLAZER,B,G
013,027,IMPALA,B,G
013,028,LUMINA,I,G
013,029,LUMINAAPV,I,G
013,030,LUV,A,G
013,031,MALIBU,B,G
013,032,MONTE CARLO,B,G
013,033,MONZA,I,P
013,034,NPR,A,G
013,035,P 31,A,G
013,036,S 10,C,G
013,037,SPORT VAN,C,G
013,038,SUBURBAN,C,G
013,039,SUPER CARRY,C,P
013,040,SWIFT,H,P
013,041,TAHOE,A,G
013,042,VITARA,B,M
013,043,CORSA,E,P
013,044,SAMURAI,B,P
013,045,C40,A,G
013,046,K 2500,B,G
013,047,C 2500,B,G
013,048,VENTURE,C,G
013,049,ESTEEM,C,P
013,050,METRO,I,P
013,051,PRIZM,I,M
013,052,TRACKER,C,M
013,053,SUPER BRIGADIER,A,G
013,054,R,B,G
013,055,FVR,A,G
013,056,BEL AIR,I,G
013,057,EL CAMINO,B,M
013,058,BRIGADIER,A,G
013,059,CHEVY METRO,A,G
013,060,C20,B,G
013,061,C50,A,G
013,062,TROOPER,C,G
013,063,C5500,A,G
013,064,C6500,A,G
013,065,C7500,A,G
013,066,C8500,A,G
013,067,W,A,G
013,068,T6500,A,G
013,069,T7500,A,G
013,070,T8500,A,G
013,071,CHEVELLE,I,G
013,072,CONCOURS,,
013,073,APACHE,A,M
013,074,WAGON R,H,P
013,075,CHR 660,A,G
013,076,ALTO,I,P
013,077,GRAND VITARA,A,G
013,078,JIMNY,C,M
013,079,SUNFIRE,F,M
013,081,BISCAYNE,I,M
013,082,6200,A,G
013,083,ASTRA,C,M
013,084,TRAILBLAZER,B,G
013,085,C274,,
013,087,AVALANCHE,A,G
013,088,ARGOSY,I,G
013,089,CHALET,,
013,090,WAYNE TRANSETTE,A,G
013,091,CONDOR,A,G
013,092,PHAETON,,
013,093,TITAN,A,G
013,094,SUPERIOR K,,
013,095,SSR,C,G
013,096,AVEO,G,G
013,097,COLORADO,A,G
013,098,EQUINOX,C,G
013,099,OPTRA,E,M
013,100,EPICA,C,M
013,101,COBALT,I,G
013,102,UPLANDER,C,G
013,103,HHR,I,G
013,104,MONTANA,B,M
013,105,SPARK,I,M
013,106,SPECTRUM,I,P
013,107,CAPTIVA,A,P
013,108,MERIVA,D,G
013,109,SILVERADO,A,M
013,110,NKR,A,G
013,111,CHEVY C2,F,
013,112,NHR,A,
013,113,TRAVERSE,C,
013,114,FSR,A,
013,115,EXR,A,
013,116,EXZ,A,
013,117,KALOS,I,
013,118,SONORA,C,
013,119,VOLT,I,
013,120,CLASSIC,I,
013,121,CELTA,I,
013,122,CRUZE,B,
013,123,LV,A,
013,124,SONIC,I,
013,125,ORLANDO,A,M
013,126,SAIL,I,
013,127,ONIX,,
013,128,NLR,,
013,129,TRAX,,
013,800,ANDINO,A,G
013,801,ALKON,A,G
013,802,A35,A,G
013,803,1988,A,G
013,804,INBUS,A,G
013,805,CARGO VAN / EXPRESS CARGO V,A,G
013,806,31003,A,G
013,807,1991,A,G
013,808,1993,A,G
013,809,C-330,A,
013,810,1974,A,M
013,811,1 AC29,A,M
013,812,1981,E,
013,813,1976,A,M
013,814,1977,A,M
013,815,1978,A,M
013,816,1979,A,M
013,817,1980,A,
013,818,1982,A,
013,819,1971,A,G
013,820,1.9.9.5,A,
013,821,P-81,A,
013,822,1989,A,
013,823,MINIMETRO,A,
013,824,B-350,A,
013,825,G-350,,
013,826,D-600,A,M
013,827,1984,A,G
013,828,1983,A,G
013,829,88,A,G
013,830,C-250,A,
014,001,CIRRUS,I,G
014,002,CONCORDE,I,G
014,003,FIFTH AVENUE,I,G
014,004,IMPERIAL,I,P
014,005,LE BARON,I,M
014,006,LHS,I,M
014,007,NEW YORKER,I,G
014,008,SEBRING,A,G
014,009,TOWN&COUNTRY,B,G
014,010,NEON,B,M
014,011,GRAND CARAVAN,A,G
014,012,STRATUS,G,M
014,013,300M,A,G
014,014,CNT900,,
014,015,PT  CRUISER,E,G
014,016,GRAND VOYAGER,I,G
014,017,VOYAGER,I,G
014,018,PACIFICA,C,G
014,019,CROSSFIRE,I,G
014,020,300,A,G
014,021,ASPEN,A,G
014,022,200,I,
014,023,CHRYSLER,I,
015,001,XM,D,G
015,002,II,,
015,003,SAXO,D,P
015,004,XANTIA,D,M
015,005,XSARA,B,M
015,006,C5,B,G
015,007,BERLINGO,C,M
015,008,C3,D,M
015,009,C2,D,M
015,010,C4,D,M
015,011,JUMPER,D,G
015,012,JUMPY,A,
016,001,1410,I,P
